data,hora,valor
20240424,0400,297.57
20240424,0500,297.506
20240424,0600,297.436
20240424,0700,297.366
20240424,0800,297.293
20240424,0900,297.22
20240424,1000,297.201
20240424,1100,297.189
20240424,1200,297.212
20240424,1300,297.283
20240424,1400,297.375
20240424,1500,297.476
20240424,1600,297.584
20240424,1700,297.708
20240424,1800,297.789
20240424,1900,297.805
20240424,2000,297.805
20240424,2100,297.787
20240424,2200,297.789
20240424,2300,297.766
20240425,0000,297.74
20240425,0100,297.711
20240425,0200,297.673
20240425,0300,297.631
20240425,0400,297.59
20240425,0500,297.547
20240425,0600,297.502
20240425,0700,297.458
20240425,0800,297.412
20240425,0900,297.367
20240425,1000,297.33
20240425,1100,297.341
20240425,1200,297.399
20240425,1300,297.509
20240425,1400,297.672
20240425,1500,297.802
20240425,1600,297.921
20240425,1700,297.961
20240425,1800,297.938
20240425,1900,297.903
20240425,2000,297.891
20240425,2100,297.861
20240425,2200,297.815
20240425,2300,297.782
20240426,0000,297.75
20240426,0100,297.715
20240426,0200,297.683
20240426,0300,297.653
20240426,0400,297.622
20240426,0500,297.591
20240426,0600,297.56
20240426,0700,297.53
20240426,0800,297.501
20240426,0900,297.473
20240426,1000,297.427
20240426,1100,297.408
20240426,1200,297.4
20240426,1300,297.412
20240426,1400,297.389
20240426,1500,297.41
20240426,1600,297.44
20240426,1700,297.474
20240426,1800,297.467
20240426,1900,297.455
20240426,2000,297.438
20240426,2100,297.398
20240426,2200,297.348
20240426,2300,297.304
20240427,0000,297.26
20240427,0100,297.219
20240427,0200,297.182
20240427,0300,297.146
20240427,0400,297.112
20240427,0500,297.079
20240427,0600,297.045
20240427,0700,297.011
20240427,0800,296.976
20240427,0900,296.937
20240427,1000,296.914
20240427,1100,296.958
20240427,1200,297.048
20240427,1300,297.156
20240427,1400,297.272
20240427,1500,297.384
20240427,1600,297.499
20240427,1700,297.612
20240427,1800,297.715
20240427,1900,297.781
20240427,2000,297.795
20240427,2100,297.775
20240427,2200,297.757
20240427,2300,297.725
20240428,0000,297.686
20240428,0100,297.643
20240428,0200,297.597
20240428,0300,297.548
20240428,0400,297.496
20240428,0500,297.44
20240428,0600,297.383
20240428,0700,297.324
20240428,0800,297.262
20240428,0900,297.202
20240428,1000,297.164
20240428,1100,297.159
20240428,1200,297.208
20240428,1300,297.296
20240428,1400,297.4
20240428,1500,297.519
20240428,1600,297.658
20240428,1700,297.82
20240428,1800,297.977
20240428,1900,298.091
20240428,2000,298.161
20240428,2100,298.148
20240428,2200,298.193
20240428,2300,298.177
20240429,0000,298.154
20240429,0100,298.121
20240429,0200,298.08
20240429,0300,298.038
20240429,0400,297.986
20240429,0500,297.931
20240429,0600,297.876
20240429,0700,297.825
20240429,0800,297.777
20240429,0900,297.729
20240429,1000,297.709
20240429,1100,297.778
20240429,1200,297.917
20240429,1300,298.13
20240429,1400,298.356
20240429,1500,298.541
20240429,1600,298.702
20240429,1700,298.758
20240429,1800,298.767
